stockNum,askPrice,isNew,color,brandName,modelName,vf_WheelSizeFront,vf_WheelSizeRear,vf_Wheels,vf_Windows
11847,12387,False,Silver Ice Metallic,CHEVROLET,Cruze,17,17,4,4
11774F,16671,False,Silver Ice Metallic,CHEVROLET,Impala,18,18,4,4
11832,12959,False,Mosaic Black Metallic,CHEVROLET,Cruze,16,16,4,4
11866F,15900,False,Summit White,CHEVROLET,Impala,18,18,4,4
9020A,12998,False,Mosaic Black Metallic,CHEVROLET,Sonic,15,15,4,4
11867F,15999,False,Silver Ice Metallic,CHEVROLET,Impala,18,18,4,4
11856F,19221,False,Blue Velvet Metallic,CHEVROLET,Impala,18,18,4,4
11925,12975,False,Graphite Metallic,CHEVROLET,Cruze,16,16,4,4
11926,12875,False,Silver Ice Metallic,CHEVROLET,Cruze,16,16,4,4
11946,12925,False,Graphite Metallic,CHEVROLET,Cruze,16,16,4,4
11921,12988,False,Silver Ice Metallic,CHEVROLET,Cruze,16,16,4,4
11927,12861,False,Summit White,CHEVROLET,Cruze,16,16,4,4
11956F,12994,False,Nightfall Gray Metallic,CHEVROLET,Cruze,16,16,4,6
11923,13176,False,Red Hot,CHEVROLET,Cruze,16,16,4,4
11924,12896,False,Summit White,CHEVROLET,Cruze,16,16,4,4
11922,12898,False,Summit White,CHEVROLET,Cruze,16,16,4,4
12087F,15997,False,Summit White,CHEVROLET,Impala,18,18,4,4
12169,11574,False,Summit White,CHEVROLET,Cruze,16,16,4,4
12191,11989,False,Graphite Metallic,CHEVROLET,Cruze,16,16,4,4
12025,17985,False,Mosaic Black Metallic,CHEVROLET,Impala,18,18,4,4
12260G,10798,False,Red Hot,CHEVROLET,Cruze,16,16,4,4
12303A,11998,False,Silver Ice Metallic,CHEVROLET,Impala,18,18,4,4
12314F,12835,False,Summit White,BUICK,Regal,18,18,4,6
12321F,13998,False,Silver Ice Metallic,CHEVROLET,Impala,18,18,4,4
12493F,15539,False,Silver Ice Metallic,CHEVROLET,Impala,18,18,4,4
12609F,10996,False,Red Hot,CHEVROLET,Cruze,17,17,4,4
12640F,8482,False,Red Hot,CHEVROLET,Cruze,16,16,4,4
12641F,8481,False,Graphite Metallic,CHEVROLET,Cruze,16,16,4,4
12673,11283,False,Red Hot,CHEVROLET,Cruze,16,16,4,4
12682,10948,False,Silver Ice Metallic,CHEVROLET,Cruze,16,16,4,4
12691,14887,False,Silver Ice Metallic,CHEVROLET,Impala,18,18,4,4
12683,13727,False,Mosaic Black Metallic,CHEVROLET,Malibu,17,17,4,4
12672,13736,False,Shadow Gray Metallic,CHEVROLET,Malibu,17,17,4,4
12719,12522,False,Silver Ice Metallic,CHEVROLET,Malibu,17,17,4,4
12718,14638,False,Summit White,CHEVROLET,Impala,18,18,4,4
LT,0,False,Cajun Red Tintcoat,CHEVROLET,Malibu,17,17,4,4
Premium,30462,False,Summit White,BUICK,LaCrosse,18,18,4,4
LT,16962,False,Mosaic Black Metallic,CHEVROLET,Malibu,17,17,4,4
Luxury AWD,29962,False,Black,CADILLAC,ATS,17,17,4,4
LT,17462,False,Black,CHEVROLET,Impala,18,18,4,4
LT,24962,False,Nightfall Gray Metallic,CHEVROLET,Impala,18,18,4,4
LT,15962,False,Silver Ice Metallic,CHEVROLET,Cruze,16,16,4,6
Luxury AWD,28962,False,White,CADILLAC,ATS,17,17,4,4
LT,0,False,Cajun Red Tintcoat,CHEVROLET,Malibu,17,17,4,4
Premium,30462,False,Summit White,BUICK,LaCrosse,18,18,4,4
LT,17962,False,Blue Velvet Metallic,CHEVROLET,Malibu,17,17,4,4
LT,0,False,Black Metallic,CHEVROLET,Malibu,17,17,4,4
Essence,0,False,Quicksilver Metallic,BUICK,LaCrosse,18,18,4,4
LT,0,False,Summit White,CHEVROLET,Malibu,17,17,4,4
Luxury AWD,0,False,Black,CADILLAC,ATS,17,17,4,4
LT,0,False,Black,CHEVROLET,Impala,18,18,4,4
Luxury AWD,0,False,Red,CADILLAC,CTS,17,17,4,4
LT,0,False,Pepperdust Metallic,CHEVROLET,Malibu,17,17,4,4
3.6L Luxury,0,False,Black Raven,CADILLAC,CTS,17,17,4,4
U6310,22962,False,Nightfall Gray Metallic,CHEVROLET,Impala,18,18,4,4
LT,0,False,Silver Ice Metallic,CHEVROLET,Cruze,16,16,4,6
Luxury AWD,0,False,White,CADILLAC,ATS,17,17,4,4
LT,0,False,Black,CHEVROLET,Cruze,16,16,4,6
P6158,11494,False,Nightfall Gray Metallic,CHEVROLET,Sonic,15,15,4,4
P6110,22594,False,Summit White,CHEVROLET,Impala,18,18,4,4
P6191,0,False,Silver Ice Metallic,CHEVROLET,Malibu,17,17,4,4
P6044,17294,False,Quicksilver Metallic,BUICK,Verano,18,18,4,4
P6190,19694,False,Summit White,CHEVROLET,Malibu,17,17,4,4
P6312,20494,False,Summit White,CHEVROLET,Impala,18,18,4,4
P6263,19999,False,Summit White,CHEVROLET,Malibu,17,17,4,4
P6322,11994,False,Tungsten Metallic,CHEVROLET,Cruze,16,16,4,4
P6333,15494,False,Arctic Blue Metallic,CHEVROLET,Malibu,17,17,4,4
P6202,25494,False,Mosaic Black Metallic,CHEVROLET,Impala,18,18,4,4
P6304,19999,False,Summit White,CHEVROLET,Malibu,16,16,4,4
P6435,11494,False,Red Hot,CHEVROLET,Sonic,15,15,4,4
P6441,0,False,Pepperdust Metallic,CHEVROLET,Impala,18,18,4,4
P6496,12258,False,Summit White,CHEVROLET,Cruze,16,16,4,4
P6441,14896,False,Pepperdust Metallic,CHEVROLET,Impala,18,18,4,4
P6348,20258,False,Summit White,CHEVROLET,Impala,18,18,4,4
P6416,17290,False,Silver Ice Metallic,CHEVROLET,Impala,18,18,4,4
P6394,17718,False,Black,CHEVROLET,Impala,18,18,4,4
P6488,15545,False,Silver Ice Metallic,CHEVROLET,Malibu,17,17,4,4
P6626,18433,False,Summit White,CHEVROLET,Impala,18,18,4,4
P6601,12554,False,Silver Ice Metallic,CHEVROLET,Cruze,16,16,4,4
P6618,15406,False,Graphite Metallic,CHEVROLET,Cruze,16,16,4,4
P6491,30052,False,Black Raven,CADILLAC,XTS,19,19,4,4
P6605,15767,False,Black Metallic,CHEVROLET,Malibu,17,17,4,4
P6392,17446,False,Black Metallic,CHEVROLET,Malibu,17,17,4,4
P6700,14711,False,Silver Ice Metallic,CHEVROLET,Cruze,16,16,4,4
P6707,15441,False,Black Metallic,CHEVROLET,Malibu,17,17,4,4
P6764,0,False,Black Metallic,CHEVROLET,Impala,18,18,4,4
P6696,15514,False,Silver Ice Metallic,CHEVROLET,Cruze,16,16,4,4
P6768,21814,False,Graphite Metallic,CHEVROLET,Impala,19,19,4,4
9556A,15285,False,Gray Metallic,CHEVROLET,Malibu,16,16,4,4
P6865,22879,False,Black Raven,CADILLAC,XTS,19,19,4,4
P6827,14271,False,Black Metallic,CHEVROLET,Cruze,17,17,4,4
P6673,22842,False,Black,CHEVROLET,Impala,18,18,4,4
P6864,14271,False,Black Metallic,CHEVROLET,Cruze,16,16,4,4
P6694,16767,False,Summit White,CHEVROLET,Malibu,17,17,4,4
P6878,21196,False,Black Metallic,CHEVROLET,Impala,19,19,4,4
10056A,9745,False,Gray Metallic,CHEVROLET,Spark,15,15,4,4
P6970,0,False,Black Metallic,CADILLAC,CT6,19,19,4,4
P6560,34331,False,Black Raven,CADILLAC,CTS,17,17,4,4
P6894,13679,False,Silver Ice Metallic,CHEVROLET,Malibu,17,17,4,4
9898A,11328,False,Gray Metallic,CHEVROLET,Malibu,17,17,4,4
P7001,14934,False,Summit White,CHEVROLET,Malibu,16,16,4,4
P7002,14493,False,blue velvet metallic,CHEVROLET,Malibu,17,17,4,4
P7007,19186,False,Black,CHEVROLET,Impala,18,18,4,4
P7054,15280,False,Black Metallic,CHEVROLET,Malibu,17,17,4,4
P7073,16358,False,Black Metallic,CHEVROLET,Malibu,17,17,4,4
P6912A,14198,False,Gray Metallic,CHEVROLET,Malibu,17,17,4,4
23780,14439,False,Summit White,CHEVROLET,Cruze,16,16,4,4
23778,15990,False,Silver Ice Metallic,CHEVROLET,Impala,18,18,4,4
23943A,12990,False,Kinetic Blue Metallic,CHEVROLET,Cruze,15,15,4,4
24142,14499,False,Red Hot,CHEVROLET,Cruze,16,16,4,4
24141,12490,False,Red Hot,CHEVROLET,Cruze,16,16,4,4
24368A,9208,False,Gray Metallic,CHEVROLET,Spark,15,15,4,4
24476,12999,False,Silver Ice Metallic,CHEVROLET,Cruze,16,16,4,4
24493,12499,False,Arctic Blue Metallic,CHEVROLET,Cruze,16,16,4,4
24523A,10499,False,Arctic Blue Metallic,CHEVROLET,Cruze,16,16,4,4
24380A,15100,False,Summit White,CHEVROLET,Malibu,16,16,4,4
45525,14258,True,Summit White,CHEVROLET,Cruze,15,15,4,4
45164,13908,True,Black Metallic,CHEVROLET,Cruze,15,15,4,4
LP13345,14771,False,Summit White,CHEVROLET,Malibu,16,16,4,4
42451,38972,True,Cajun Red Tintcoat,CHEVROLET,Bolt EV,17,17,4,4
LP13233,19471,False,Sandy Ridge Metallic,CHEVROLET,Malibu,17,17,4,4
LP13287,16871,False,Iridescent Pearl Tricoat,CHEVROLET,Malibu,17,17,4,4
45802,20014,True,Black Metallic,CHEVROLET,Malibu,17,17,4,4
45552,14258,True,Black Metallic,CHEVROLET,Cruze,15,15,4,4
45271,12908,True,Red,CHEVROLET,Cruze,15,15,4,4
41102,14472,True,Red Hot,CHEVROLET,Cruze,15,15,4,4
41852,21288,True,Cajun Red Tintcoat,CHEVROLET,Malibu,17,17,4,4
41866,17606,True,Mosaic Black Metallic,CHEVROLET,Malibu,16,16,4,4
41861,17472,True,Mosaic Black Metallic,CHEVROLET,Malibu,16,16,4,4
STK114140,15472,False,Silver Ice Metallic,CHEVROLET,Cruze,16,16,4,4
P10830,13972,False,Mosaic Black Metallic,CHEVROLET,Cruze,16,16,4,4
P10776,13972,False,Mosaic Black Metallic,CHEVROLET,Cruze,16,16,4,4
P10678,13572,False,Mosaic Black Metallic,CHEVROLET,Cruze,16,16,4,4
41596,20346,True,Mosaic Black Metallic,CHEVROLET,Malibu,17,17,4,4
