full_name,pdes,name,H,diameter,albedo,om,w,moid,class,rms
     1 Ceres,1,Ceres,3.4,939.4,0.090,80.30553090445737,73.59769469844186,1.59478,MBA,.43301
     2 Pallas,2,Pallas,4.2,545,0.101,173.0247412488342,310.2023924446679,1.23429,MBA,.35936
     3 Juno,3,Juno,5.33,246.596,0.214,169.8514824901798,248.0661932666256,1.03429,MBA,.33848
     4 Vesta,4,Vesta,3.0,525.4,0.4228,103.8108039679376,150.7285410950405,1.13948,MBA,.3998
     5 Astraea,5,Astraea,6.9,106.699,0.274,141.5710264957903,358.6484180421261,1.09575,MBA,.52191
     6 Hebe,6,Hebe,5.8,185.18,0.2679,138.6434315232777,239.7362732125505,.973673,MBA,.41032
     7 Iris,7,Iris,5.6,199.83,0.2766,259.5639433694173,145.201544600335,.850693,MBA,.38128
     8 Flora,8,Flora,6.5,147.491,0.226,110.8765239101335,285.4589150695398,.87598,MBA,.54186
     9 Metis,9,Metis,6.3,190,0.118,68.9094592620561,6.33732451976998,1.10711,MBA,.44895
    10 Hygiea,10,Hygiea,5.5,407.12,0.0717,283.1984443208443,312.4129316933437,1.7803,MBA,.53434
    11 Parthenope,11,Parthenope,6.5,142.887,0.191,125.5283793492349,195.3590505295931,1.19498,MBA,.46367
    12 Victoria,12,Victoria,7.3,115.087,0.163,235.4010328621947,69.69422189733905,.82468,MBA,.54993
    13 Egeria,13,Egeria,6.8,202.636,0.070,43.2210228007982,80.41454240386794,1.4357,MBA,.56183
    14 Irene,14,Irene,6.5,152,0.159,86.12399137332824,97.80167129268644,1.18081,MBA,.53686
    15 Eunomia,15,Eunomia,5.2,231.689,0.248,292.934798071213,98.59525005840975,1.1949,MBA,.56426
    16 Psyche,16,Psyche,5.90,226,0.1203,150.0407117705516,229.0267875922762,1.53586,MBA,.36732
    17 Thetis,17,Thetis,7.7,84.899,0.193,125.5396698229093,135.974148097624,1.13008,MBA,.54502
    18 Melpomene,18,Melpomene,6.6,139.594,0.181,150.3651823248487,228.0776863471598,.813814,MBA,.42644
    19 Fortuna,19,Fortuna,7.3,200,0.037,211.0689729068897,182.2627446891953,1.06556,MBA,.49527
    20 Massalia,20,Massalia,6.50,135.680,0.241,206.01321791,257.3509375498502,1.08305,MBA,.55935
    21 Lutetia,21,Lutetia,7.5,95.76,0.2212,80.86663293386316,249.9973065742705,1.02901,MBA,.38524
    22 Kalliope,22,Kalliope,6.5,167.536,0.166,66.00464550008188,357.2564762137241,1.63844,MBA,.43346
    23 Thalia,23,Thalia,6.95,107.53,0.2536,66.84479318342105,60.63247963389298,1.04616,MBA,.53314
    24 Themis,24,Themis,7.3,198,0.067,35.9203917228736,106.9819100977671,1.75798,MBA,.51161
    25 Phocaea,25,Phocaea,7.8,61.054,0.350,214.1202777703414,90.30961999324029,.923068,MBA,.44025
